nama;cash;cash_type;cash_score;property_plant_equipment;sumber_asset_lainnya;asset_lainnya;asset_lainnya_type;asset_lainnya_score;sumber_asset_keluarga;asset_keluarga;asset_keluarga_type;asset_keluarga_score;total_asset;total_asset_type;total_asset_score;total_hutang;modal;debt_to_asset_ratio;debt_to_asset_ratio_cat;debt_to_asset_ratio_score;equity_to_asset_ratio;equity_to_asset_ratio_cat;equity_to_asset_ratio_score;debt_to_equity_ratio;debt_to_equity_ratio_cat;debt_to_equity_ratio_score;cash_financial_inflow;cash_financial_outflow;cash_flow_financial;cash_flow_financial_type;cash_flow_financial_score;target
Jacqueline Taylor;15966000;>=15.000.000 dan < 25.000.000;750;99672000;asset keluarga ;592271000;>=200000000;1000;Rumah dan properti;6693360000;>=2000000000;1000;7401269000;>=7000000000;1000;862352000;6538917000;0,12;excellent;880;0,88;excellent;880;0,13;excellent;870;58847000;18279000;40568000;arus kas positif;1000;922,5
Bruce Douglas;51928000;>=25.000.000;1000;46064000;asset keluarga ;62319000;>= 50000000 dan <100000000;500;Dana pensiun;5369546000;>=2000000000;1000;5529857000;>=5000000000 dan < 7000000000;1000;302623000;5227234000;0,05;excellent;950;0,95;excellent;950;0,06;excellent;940;38443000;28252000;10191000;arus kas positif;1000;917,5
Jennifer Schmidt MD;44873000;>=25.000.000;1000;60214000;inventory;816879000;>=200000000;1000;Investasi;6284011000;>=2000000000;1000;7205977000;>=7000000000;1000;715204000;6490773000;0,1;excellent;900;0,9;excellent;900;0,11;excellent;890;81635000;16579000;65056000;arus kas positif;1000;961,25
Shelly Sandoval;26898000;>=25.000.000;1000;84317000;asset keluarga ;227701000;>=200000000;1000;Aset finansial lainnya;3703603000;>=2000000000;1000;4042519000;>= 1000000000 dan <5000000000;500;189300000;3853219000;0,05;excellent;950;0,95;excellent;950;0,05;excellent;950;21125000;20620000;505000;arus kas positif;1000;918,75
Alicia Hicks;84283000;>=25.000.000;1000;77255000;asset keluarga ;751698000;>=200000000;1000;Investasi;550453000;>= 500000000 dan <1000000000;500;1463689000;>= 1000000000 dan <5000000000;500;582780000;880909000;0,4;good;600;0,6;good;600;0,66;good;340;19482000;46598000;-27116000;arus kas negatif;0;567,5
Daniel Turner;49961000;>=25.000.000;1000;32006000;inventory;209533000;>=200000000;1000;Aset finansial lainnya;9148389000;>=2000000000;1000;9439889000;>=7000000000;1000;260882000;9179007000;0,03;excellent;970;0,97;excellent;970;0,03;excellent;970;68205000;15241000;52964000;arus kas positif;1000;988,75
Lindsay Gomez;9837000;>= 5.000.000 dan <15.000.000;500;48884000;asset keluarga ;313630000;>=200000000;1000;Rumah dan properti;7368780000;>=2000000000;1000;7741131000;>=7000000000;1000;282535000;7458596000;0,04;excellent;960;0,96;excellent;960;0,04;excellent;960;10856000;34814000;-23958000;arus kas negatif;0;797,5
Michael Haynes;38957000;>=25.000.000;1000;33336000;property, plant and equipment;726824000;>=200000000;1000;Aset finansial lainnya;6847141000;>=2000000000;1000;7646258000;>=7000000000;1000;803769000;6842489000;0,11;excellent;890;0,89;excellent;890;0,12;excellent;880;99935000;30666000;69269000;arus kas positif;1000;957,5
Carol Anderson;63487000;>=25.000.000;1000;38028000;asset keluarga ;856324000;>=200000000;1000;Tabungan dan deposito;1577215000;>=1000000000 dan < 2000000000;750;2535054000;>= 1000000000 dan <5000000000;500;420399000;2114655000;0,17;excellent;830;0,83;excellent;830;0,2;excellent;800;87095000;84131000;2964000;arus kas positif;1000;838,75
Linda Turner;78355000;>=25.000.000;1000;42150000;property, plant and equipment;678683000;>=200000000;1000;Aset finansial lainnya;7136429000;>=2000000000;1000;7935617000;>=7000000000;1000;891255000;7044362000;0,11;excellent;890;0,89;excellent;890;0,13;excellent;870;51057000;25136000;25921000;arus kas positif;1000;956,25
Joshua Ferguson;46580000;>=25.000.000;1000;79108000;inventory;483830000;>=200000000;1000;Tabungan dan deposito;3246932000;>=2000000000;1000;3856450000;>= 1000000000 dan <5000000000;500;346880000;3509570000;0,09;excellent;910;0,91;excellent;910;0,1;excellent;900;25906000;58249000;-32343000;arus kas negatif;0;777,5
Linda Mcclure;18625000;>=15.000.000 dan < 25.000.000;750;40666000;asset keluarga ;774769000;>=200000000;1000;Rumah dan properti;3178352000;>=2000000000;1000;4012412000;>= 1000000000 dan <5000000000;500;297976000;3714436000;0,07;excellent;930;0,93;excellent;930;0,08;excellent;920;36823000;87978000;-51155000;arus kas negatif;0;753,75
Brittany Rogers;51863000;>=25.000.000;1000;36952000;inventory;360942000;>=200000000;1000;Aset finansial lainnya;6864220000;>=2000000000;1000;7313977000;>=7000000000;1000;900391000;6413586000;0,12;excellent;880;0,88;excellent;880;0,14;excellent;860;24961000;60631000;-35670000;arus kas negatif;0;827,5
Matthew Rodriguez;74208000;>=25.000.000;1000;55467000;inventory;764755000;>=200000000;1000;Tabungan dan deposito;6771601000;>=2000000000;1000;7666031000;>=7000000000;1000;180326000;7485705000;0,02;excellent;980;0,98;excellent;980;0,02;excellent;980;50212000;70922000;-20710000;arus kas negatif;0;867,5
Annette Nguyen;81161000;>=25.000.000;1000;84931000;inventory;361459000;>=200000000;1000;Investasi;5507993000;>=2000000000;1000;6035544000;>=5000000000 dan < 7000000000;1000;455018000;5580526000;0,08;excellent;920;0,92;excellent;920;0,08;excellent;920;45518000;46775000;-1257000;arus kas negatif;0;845
William Weber;12526000;>= 5.000.000 dan <15.000.000;500;71183000;property, plant and equipment;753953000;>=200000000;1000;Tabungan dan deposito;5176969000;>=2000000000;1000;6014631000;>=5000000000 dan < 7000000000;1000;198640000;5815991000;0,03;excellent;970;0,97;excellent;970;0,03;excellent;970;90490000;23760000;66730000;arus kas positif;1000;926,25
Katherine Dawson;10613000;>= 5.000.000 dan <15.000.000;500;46496000;asset keluarga ;65361000;>= 50000000 dan <100000000;500;Aset finansial lainnya;9400188000;>=2000000000;1000;9522658000;>=7000000000;1000;160742000;9361916000;0,02;excellent;980;0,98;excellent;980;0,02;excellent;980;57881000;63841000;-5960000;arus kas negatif;0;742,5
Robert Beltran;1122000;<5.000.000;250;52758000;property, plant and equipment;455480000;>=200000000;1000;Rumah dan properti;8432884000;>=2000000000;1000;8942244000;>=7000000000;1000;968231000;7974013000;0,11;excellent;890;0,89;excellent;890;0,12;excellent;880;39056000;67533000;-28477000;arus kas negatif;0;738,75
Christopher Fields;7644000;>= 5.000.000 dan <15.000.000;500;53148000;property, plant and equipment;962869000;>=200000000;1000;Dana pensiun;9291100000;>=2000000000;1000;10314761000;>=7000000000;1000;954689000;9360072000;0,09;excellent;910;0,91;excellent;910;0,1;excellent;900;15053000;67282000;-52229000;arus kas negatif;0;777,5
Chase Powers;21113000;>=15.000.000 dan < 25.000.000;750;68851000;asset keluarga ;703365000;>=200000000;1000;Aset finansial lainnya;7211726000;>=2000000000;1000;8005055000;>=7000000000;1000;218526000;7786529000;0,03;excellent;970;0,97;excellent;970;0,03;excellent;970;84112000;41609000;42503000;arus kas positif;1000;957,5
Eric Davidson;2798000;<5.000.000;250;21872000;property, plant and equipment;706126000;>=200000000;1000;Investasi;8823952000;>=2000000000;1000;9554748000;>=7000000000;1000;176854000;9377894000;0,02;excellent;980;0,98;excellent;980;0,02;excellent;980;43123000;91727000;-48604000;arus kas negatif;0;773,75
Lori Hunt;75529000;>=25.000.000;1000;41736000;property, plant and equipment;267818000;>=200000000;1000;Rumah dan properti;8242335000;>=2000000000;1000;8627418000;>=7000000000;1000;500677000;8126741000;0,06;excellent;940;0,94;excellent;940;0,06;excellent;940;37776000;90169000;-52393000;arus kas negatif;0;852,5
Ethan Lewis;43995000;>=25.000.000;1000;21061000;inventory;101876000;>=100000000 dan < 200000000;750;Tabungan dan deposito;8693143000;>=2000000000;1000;8860075000;>=7000000000;1000;491817000;8368258000;0,06;excellent;940;0,94;excellent;940;0,06;excellent;940;86911000;66355000;20556000;arus kas positif;1000;946,25
Kelli Hamilton;34960000;>=25.000.000;1000;74257000;inventory;437825000;>=200000000;1000;Rumah dan properti;6043824000;>=2000000000;1000;6590866000;>=5000000000 dan < 7000000000;1000;336268000;6254598000;0,05;excellent;950;0,95;excellent;950;0,05;excellent;950;18435000;34404000;-15969000;arus kas negatif;0;856,25
Lisa Warner;41047000;>=25.000.000;1000;87409000;asset keluarga ;57872000;>= 50000000 dan <100000000;500;Rumah dan properti;4815323000;>=2000000000;1000;5001651000;>=5000000000 dan < 7000000000;1000;709176000;4292475000;0,14;excellent;860;0,86;excellent;860;0,17;excellent;830;17681000;32686000;-15005000;arus kas negatif;0;756,25
Desiree Anderson;56211000;>=25.000.000;1000;96279000;property, plant and equipment;979967000;>=200000000;1000;Dana pensiun;2768819000;>=2000000000;1000;3901276000;>= 1000000000 dan <5000000000;500;968218000;2933058000;0,25;excellent;750;0,75;excellent;750;0,33;good;670;30923000;45124000;-14201000;arus kas negatif;0;708,75
Benjamin Garner;20577000;>=15.000.000 dan < 25.000.000;750;91329000;inventory;636329000;>=200000000;1000;Aset finansial lainnya;7567759000;>=2000000000;1000;8315994000;>=7000000000;1000;160432000;8155562000;0,02;excellent;980;0,98;excellent;980;0,02;excellent;980;81216000;50572000;30644000;arus kas positif;1000;961,25
Daniel Edwards;80965000;>=25.000.000;1000;61765000;property, plant and equipment;332256000;>=200000000;1000;Kendaraan;4794070000;>=2000000000;1000;5269056000;>=5000000000 dan < 7000000000;1000;673878000;4595178000;0,13;excellent;870;0,87;excellent;870;0,15;excellent;850;37580000;46874000;-9294000;arus kas negatif;0;823,75
Kathryn Nichols;9203000;>= 5.000.000 dan <15.000.000;500;45295000;property, plant and equipment;884792000;>=200000000;1000;Aset finansial lainnya;3258398000;>=2000000000;1000;4197688000;>= 1000000000 dan <5000000000;500;587101000;3610587000;0,14;excellent;860;0,86;excellent;860;0,16;excellent;840;84360000;86222000;-1862000;arus kas negatif;0;695
Kaitlyn Cherry;64497000;>=25.000.000;1000;64762000;asset keluarga ;42287000;<50000000;250;Tabungan dan deposito;9295847000;>=2000000000;1000;9467393000;>=7000000000;1000;239769000;9227624000;0,03;excellent;970;0,97;excellent;970;0,03;excellent;970;25768000;66132000;-40364000;arus kas negatif;0;770
Christopher Mckee;57420000;>=25.000.000;1000;94803000;inventory;383039000;>=200000000;1000;Kendaraan;4846615000;>=2000000000;1000;5381877000;>=5000000000 dan < 7000000000;1000;432717000;4949160000;0,08;excellent;920;0,92;excellent;920;0,09;excellent;910;38621000;14353000;24268000;arus kas positif;1000;968,75
Amanda Mcintyre;5730000;>= 5.000.000 dan <15.000.000;500;50054000;inventory;960728000;>=200000000;1000;Investasi;7524538000;>=2000000000;1000;8541050000;>=7000000000;1000;994149000;7546901000;0,12;excellent;880;0,88;excellent;880;0,13;excellent;870;79792000;93799000;-14007000;arus kas negatif;0;766,25
Matthew Bryant;38465000;>=25.000.000;1000;88378000;property, plant and equipment;908340000;>=200000000;1000;Investasi;4372029000;>=2000000000;1000;5407212000;>=5000000000 dan < 7000000000;1000;292524000;5114688000;0,05;excellent;950;0,95;excellent;950;0,06;excellent;940;75426000;75120000;306000;arus kas positif;1000;980
Nicole Shelton;81693000;>=25.000.000;1000;53427000;asset keluarga ;20831000;<50000000;250;Kendaraan;2439296000;>=2000000000;1000;2595247000;>= 1000000000 dan <5000000000;500;225985000;2369262000;0,09;excellent;910;0,91;excellent;910;0,1;excellent;900;19508000;59159000;-39651000;arus kas negatif;0;683,75
Kayla Morris;76690000;>=25.000.000;1000;57076000;inventory;877782000;>=200000000;1000;Investasi;426487000;<500000000;250;1438035000;>= 1000000000 dan <5000000000;500;928888000;509147000;0,65;bad;350;0,35;bad;350;1,82;bad;-820;18476000;29323000;-10847000;arus kas negatif;0;328,75
Christina Landry;73215000;>=25.000.000;1000;41149000;inventory;860536000;>=200000000;1000;Aset finansial lainnya;7318652000;>=2000000000;1000;8293552000;>=7000000000;1000;851458000;7442094000;0,1;excellent;900;0,9;excellent;900;0,11;excellent;890;46034000;29987000;16047000;arus kas positif;1000;961,25
Kim Jimenez;85115000;>=25.000.000;1000;99884000;inventory;772421000;>=200000000;1000;Investasi;8407327000;>=2000000000;1000;9364747000;>=7000000000;1000;170435000;9194312000;0,02;excellent;980;0,98;excellent;980;0,02;excellent;980;96351000;22348000;74003000;arus kas positif;1000;992,5
Edward Zavala;53539000;>=25.000.000;1000;40574000;property, plant and equipment;726268000;>=200000000;1000;Aset finansial lainnya;517069000;>= 500000000 dan <1000000000;500;1337450000;>= 1000000000 dan <5000000000;500;676677000;660773000;0,51;good;490;0,49;good;490;1,02;bad;-20;67505000;30308000;37197000;arus kas positif;1000;620
Michele Marks;27348000;>=25.000.000;1000;62332000;inventory;674608000;>=200000000;1000;Tabungan dan deposito;2697867000;>=2000000000;1000;3462155000;>= 1000000000 dan <5000000000;500;275440000;3186715000;0,08;excellent;920;0,92;excellent;920;0,09;excellent;910;84848000;99965000;-15117000;arus kas negatif;0;781,25
Shawn Zuniga;96710000;>=25.000.000;1000;62091000;asset keluarga ;172511000;>=100000000 dan < 200000000;750;Aset finansial lainnya;5627897000;>=2000000000;1000;5959209000;>=5000000000 dan < 7000000000;500;686682000;5272527000;0,12;excellent;880;0,88;excellent;880;0,13;excellent;870;33546000;70805000;-37259000;arus kas negatif;0;735
Michael Harris;93342000;>=25.000.000;1000;56232000;inventory;372403000;>=200000000;1000;Rumah dan properti;5981314000;>=2000000000;1000;6503291000;>=5000000000 dan < 7000000000;500;104065000;6399226000;0,02;excellent;980;0,98;excellent;980;0,02;excellent;980;15921000;13227000;2694000;arus kas positif;1000;930
Karen Johnson;97950000;>=25.000.000;1000;19962000;property, plant and equipment;175638000;>=100000000 dan < 200000000;750;Investasi;6242754000;>=2000000000;1000;6536304000;>=5000000000 dan < 7000000000;500;620042000;5916262000;0,09;excellent;910;0,91;excellent;910;0,1;excellent;900;59602000;32752000;26850000;arus kas positif;1000;871,25
Nathan Conrad;97078000;>=25.000.000;1000;40445000;property, plant and equipment;825283000;>=200000000;1000;Dana pensiun;7973345000;>=2000000000;1000;8936151000;>=7000000000;1000;933773000;8002378000;0,1;excellent;900;0,9;excellent;900;0,12;excellent;880;77536000;68627000;8909000;arus kas positif;1000;960
Linda Hartman;44610000;>=25.000.000;1000;28113000;inventory;387396000;>=200000000;1000;Investasi;118409000;<500000000;250;578528000;<1000000000;250;870313000;-291785000;1,5;bad;-500;-0,5;bad;-500;-2,98;bad;3980;78679000;46650000;32029000;arus kas positif;1000;810
Brandon Lawson;69326000;>=25.000.000;1000;62966000;asset keluarga ;601899000;>=200000000;1000;Investasi;94265000;<500000000;250;828456000;<1000000000;250;379004000;449452000;0,46;good;540;0,54;good;540;0,84;good;160;68694000;72767000;-4073000;arus kas negatif;0;467,5
Nicholas Wright;56727000;>=25.000.000;1000;20289000;asset keluarga ;380117000;>=200000000;1000;Aset finansial lainnya;6335269000;>=2000000000;1000;6792402000;>=5000000000 dan < 7000000000;250;205657000;6586745000;0,03;excellent;970;0,97;excellent;970;0,03;excellent;970;77069000;27143000;49926000;arus kas positif;1000;895
Michael Spencer;38934000;>=25.000.000;1000;74015000;asset keluarga ;648827000;>=200000000;1000;Tabungan dan deposito;6502215000;>=2000000000;1000;7263991000;>=7000000000;1000;883069000;6380922000;0,12;excellent;880;0,88;excellent;880;0,14;excellent;860;76033000;33002000;43031000;arus kas positif;1000;952,5
Ashley Sutton;46953000;>=25.000.000;1000;74980000;asset keluarga ;388441000;>=200000000;1000;Kendaraan;369207000;<500000000;250;879581000;<1000000000;250;503209000;376372000;0,57;good;430;0,43;good;430;1,34;bad;-340;70300000;90895000;-20595000;arus kas negatif;0;377,5
Donna Payne;52679000;>=25.000.000;1000;59586000;property, plant and equipment;285051000;>=200000000;1000;Tabungan dan deposito;2206539000;>=2000000000;1000;2603855000;>= 1000000000 dan <5000000000;500;462257000;2141598000;0,18;excellent;820;0,82;excellent;820;0,22;excellent;780;33249000;97717000;-64468000;arus kas negatif;0;740
Michelle Johnson;51995000;>=25.000.000;1000;81530000;property, plant and equipment;471543000;>=200000000;1000;Tabungan dan deposito;5741979000;>=2000000000;1000;6347047000;>=5000000000 dan < 7000000000;500;596339000;5750708000;0,09;excellent;910;0,91;excellent;910;0,1;excellent;900;17606000;51809000;-34203000;arus kas negatif;0;777,5
Lisa Butler;97802000;>=25.000.000;1000;64147000;asset keluarga ;558513000;>=200000000;1000;Tabungan dan deposito;4413601000;>=2000000000;1000;5134063000;>=5000000000 dan < 7000000000;500;805629000;4328434000;0,16;excellent;840;0,84;excellent;840;0,19;excellent;810;35332000;73592000;-38260000;arus kas negatif;0;748,75
Curtis Collins;28356000;>=25.000.000;1000;20391000;property, plant and equipment;419610000;>=200000000;1000;Aset finansial lainnya;6443055000;>=2000000000;1000;6911412000;>=5000000000 dan < 7000000000;500;624040000;6287372000;0,09;excellent;910;0,91;excellent;910;0,1;excellent;900;78198000;31340000;46858000;arus kas positif;1000;902,5
Malik Contreras;82646000;>=25.000.000;1000;17648000;inventory;913977000;>=200000000;1000;Investasi;6972398000;>=2000000000;1000;7986669000;>=7000000000;1000;784698000;7201971000;0,1;excellent;900;0,9;excellent;900;0,11;excellent;890;10514000;76267000;-65753000;arus kas negatif;0;836,25
Julie Yoder;80492000;>=25.000.000;1000;21778000;inventory;398256000;>=200000000;1000;Rumah dan properti;2244222000;>=2000000000;1000;2744748000;>= 1000000000 dan <5000000000;500;652821000;2091927000;0,24;excellent;760;0,76;excellent;760;0,31;good;690;10993000;75269000;-64276000;arus kas negatif;0;713,75
Nicholas Mendoza;64497000;>=25.000.000;1000;66145000;property, plant and equipment;444975000;>=200000000;1000;Kendaraan;9471670000;>=2000000000;1000;10047287000;>=7000000000;1000;840158000;9207129000;0,08;excellent;920;0,92;excellent;920;0,09;excellent;910;67611000;42529000;25082000;arus kas positif;1000;968,75
Emily Bowen;57027000;>=25.000.000;1000;17441000;property, plant and equipment;425922000;>=200000000;1000;Aset finansial lainnya;2535598000;>=2000000000;1000;3035988000;>= 1000000000 dan <5000000000;500;153520000;2882468000;0,05;excellent;950;0,95;excellent;950;0,05;excellent;950;62026000;63413000;-1387000;arus kas negatif;0;793,75
Tim Anderson;83390000;>=25.000.000;1000;51599000;asset keluarga ;536962000;>=200000000;1000;Dana pensiun;5525948000;>=2000000000;1000;6197899000;>=5000000000 dan < 7000000000;500;174502000;6023397000;0,03;excellent;970;0,97;excellent;970;0,03;excellent;970;86752000;82104000;4648000;arus kas positif;1000;926,25
Stacie Haney;41048000;>=25.000.000;1000;89037000;property, plant and equipment;242967000;>=200000000;1000;Dana pensiun;5646484000;>=2000000000;1000;6019536000;>=5000000000 dan < 7000000000;500;940658000;5078878000;0,16;excellent;840;0,84;excellent;840;0,19;excellent;810;49276000;95558000;-46282000;arus kas negatif;0;748,75
Robert Stone;91010000;>=25.000.000;1000;15413000;asset keluarga ;686068000;>=200000000;1000;Dana pensiun;7097103000;>=2000000000;1000;7889594000;>=7000000000;1000;779582000;7110012000;0,1;excellent;900;0,9;excellent;900;0,11;excellent;890;49136000;63689000;-14553000;arus kas negatif;0;836,25
Peter Tate;79585000;>=25.000.000;1000;40051000;property, plant and equipment;713879000;>=200000000;1000;Rumah dan properti;7705745000;>=2000000000;1000;8539260000;>=7000000000;1000;767225000;7772035000;0,09;excellent;910;0,91;excellent;910;0,1;excellent;900;68122000;71732000;-3610000;arus kas negatif;0;840
Willie Thomas;73003000;>=25.000.000;1000;13562000;property, plant and equipment;733316000;>=200000000;1000;Aset finansial lainnya;5373664000;>=2000000000;1000;6193545000;>=5000000000 dan < 7000000000;1000;810194000;5383351000;0,13;excellent;870;0,87;excellent;870;0,15;excellent;850;35350000;55763000;-20413000;arus kas negatif;0;823,75
Lauren Willis;9086000;>= 5.000.000 dan <15.000.000;500;51316000;asset keluarga ;933479000;>=200000000;1000;Rumah dan properti;2793242000;>=2000000000;1000;3787123000;>= 1000000000 dan <5000000000;500;216855000;3570268000;0,06;excellent;940;0,94;excellent;940;0,06;excellent;940;85153000;18897000;66256000;arus kas positif;1000;852,5
Mark Jones;53429000;>=25.000.000;1000;28684000;inventory;609617000;>=200000000;1000;Rumah dan properti;6206228000;>=2000000000;1000;6897958000;>=5000000000 dan < 7000000000;500;916651000;5981307000;0,13;excellent;870;0,87;excellent;870;0,15;excellent;850;13308000;37821000;-24513000;arus kas negatif;0;761,25
Elaine Figueroa;50571000;>=25.000.000;1000;69371000;asset keluarga ;414582000;>=200000000;1000;Kendaraan;6254618000;>=2000000000;1000;6789142000;>=5000000000 dan < 7000000000;500;135985000;6653157000;0,02;excellent;980;0,98;excellent;980;0,02;excellent;980;43426000;19374000;24052000;arus kas positif;1000;930
Melissa Gordon;34675000;>=25.000.000;1000;53178000;inventory;906543000;>=200000000;1000;Tabungan dan deposito;1679104000;>=1000000000 dan < 2000000000;750;2673500000;>= 1000000000 dan <5000000000;500;120216000;2553284000;0,04;excellent;960;0,96;excellent;960;0,05;excellent;950;77480000;14656000;62824000;arus kas positif;1000;890
David Chavez;93565000;>=25.000.000;1000;10245000;asset keluarga ;100802000;>=100000000 dan < 200000000;750;Dana pensiun;7770126000;>=2000000000;1000;7974738000;>=7000000000;1000;424008000;7550730000;0,05;excellent;950;0,95;excellent;950;0,06;excellent;940;28162000;77250000;-49088000;arus kas negatif;0;823,75
Sean Goodman;80201000;>=25.000.000;1000;61291000;property, plant and equipment;603757000;>=200000000;1000;Rumah dan properti;5416347000;>=2000000000;1000;6161596000;>=5000000000 dan < 7000000000;1000;920270000;5241326000;0,15;excellent;850;0,85;excellent;850;0,18;excellent;820;10413000;74800000;-64387000;arus kas negatif;0;815
Renee Martinez;60714000;>=25.000.000;1000;69581000;inventory;946422000;>=200000000;1000;Tabungan dan deposito;7473020000;>=2000000000;1000;8549737000;>=7000000000;1000;959303000;7590434000;0,11;excellent;890;0,89;excellent;890;0,13;excellent;870;18779000;17739000;1040000;arus kas positif;1000;956,25
Sharon Simmons;78411000;>=25.000.000;1000;11668000;asset keluarga ;528336000;>=200000000;1000;Tabungan dan deposito;4132690000;>=2000000000;1000;4751105000;>= 1000000000 dan <5000000000;500;883729000;3867376000;0,19;excellent;810;0,81;excellent;810;0,23;excellent;770;31765000;19690000;12075000;arus kas positif;1000;861,25
Zachary Jenkins;37965000;>=25.000.000;1000;95211000;inventory;347523000;>=200000000;1000;Dana pensiun;3142032000;>=2000000000;1000;3622731000;>= 1000000000 dan <5000000000;500;616482000;3006249000;0,17;excellent;830;0,83;excellent;830;0,21;excellent;790;30210000;89578000;-59368000;arus kas negatif;0;743,75
Patricia Perez;34741000;>=25.000.000;1000;90531000;asset keluarga ;617262000;>=200000000;1000;Kendaraan;9639243000;>=2000000000;1000;10381777000;>=7000000000;1000;583984000;9797793000;0,06;excellent;940;0,94;excellent;940;0,06;excellent;940;97479000;80416000;17063000;arus kas positif;1000;977,5
Lori Wilson;14120000;>= 5.000.000 dan <15.000.000;500;13212000;inventory;28552000;<50000000;250;Investasi;8447401000;>=2000000000;1000;8503285000;>=7000000000;1000;294456000;8208829000;0,03;excellent;970;0,97;excellent;970;0,04;excellent;960;31047000;28082000;2965000;arus kas positif;1000;831,25
Mrs. Kayla Keller;41066000;>=25.000.000;1000;91047000;property, plant and equipment;727692000;>=200000000;1000;Tabungan dan deposito;6108321000;>=2000000000;1000;6968126000;>=5000000000 dan < 7000000000;1000;223378000;6744748000;0,03;excellent;970;0,97;excellent;970;0,03;excellent;970;53080000;83968000;-30888000;arus kas negatif;0;863,75
Patricia Long;58882000;>=25.000.000;1000;96706000;property, plant and equipment;425910000;>=200000000;1000;Aset finansial lainnya;2390429000;>=2000000000;1000;2971927000;>= 1000000000 dan <5000000000;500;255221000;2716706000;0,09;excellent;910;0,91;excellent;910;0,09;excellent;910;47898000;59961000;-12063000;arus kas negatif;0;778,75
Marissa Arroyo;64599000;>=25.000.000;1000;36013000;asset keluarga ;761441000;>=200000000;1000;Aset finansial lainnya;5421270000;>=2000000000;1000;6283323000;>=5000000000 dan < 7000000000;500;967029000;5316294000;0,15;excellent;850;0,85;excellent;850;0,18;excellent;820;10132000;32741000;-22609000;arus kas negatif;0;752,5
Sarah Anderson;23785000;>=15.000.000 dan < 25.000.000;750;78141000;inventory;638126000;>=200000000;1000;Tabungan dan deposito;530375000;>= 500000000 dan <1000000000;500;1270427000;>= 1000000000 dan <5000000000;500;433023000;837404000;0,34;good;660;0,66;good;660;0,52;good;480;71953000;69806000;2147000;arus kas positif;1000;693,75
Mark Rowe;97495000;>=25.000.000;1000;60777000;property, plant and equipment;416022000;>=200000000;1000;Investasi;9975717000;>=2000000000;1000;10550011000;>=7000000000;1000;401303000;10148708000;0,04;excellent;960;0,96;excellent;960;0,04;excellent;960;89007000;86413000;2594000;arus kas positif;1000;985
Eric Warner;97894000;>=25.000.000;1000;61601000;property, plant and equipment;265949000;>=200000000;1000;Rumah dan properti;1168255000;>=1000000000 dan < 2000000000;750;1593699000;>= 1000000000 dan <5000000000;500;106469000;1487230000;0,07;excellent;930;0,93;excellent;930;0,07;excellent;930;28498000;50889000;-22391000;arus kas negatif;0;755
Derrick Washington;19267000;>=15.000.000 dan < 25.000.000;750;34636000;asset keluarga ;593892000;>=200000000;1000;Investasi;4752945000;>=2000000000;1000;5400740000;>=5000000000 dan < 7000000000;500;505562000;4895178000;0,09;excellent;910;0,91;excellent;910;0,1;excellent;900;84166000;82501000;1665000;arus kas positif;1000;871,25
Mrs. Anne Murray;9589000;>= 5.000.000 dan <15.000.000;500;71128000;property, plant and equipment;112973000;>=100000000 dan < 200000000;750;Dana pensiun;957386000;>= 500000000 dan <1000000000;500;1151076000;>= 1000000000 dan <5000000000;500;775125000;375951000;0,67;bad;330;0,33;bad;330;2,06;bad;-1060;84448000;65641000;18807000;arus kas positif;1000;356,25
Sean Duncan;35325000;>=25.000.000;1000;66900000;property, plant and equipment;71657000;>= 50000000 dan <100000000;500;Rumah dan properti;4415392000;>=2000000000;1000;4589274000;>= 1000000000 dan <5000000000;500;775316000;3813958000;0,17;excellent;830;0,83;excellent;830;0,2;excellent;800;51905000;59876000;-7971000;arus kas negatif;0;682,5
Mrs. Lindsey Dixon;14741000;>= 5.000.000 dan <15.000.000;500;28472000;inventory;431958000;>=200000000;1000;Rumah dan properti;8864806000;>=2000000000;1000;9339977000;>=7000000000;1000;425474000;8914503000;0,05;excellent;950;0,95;excellent;950;0,05;excellent;950;89445000;77852000;11593000;arus kas positif;1000;918,75
Roger Wilson;82657000;>=25.000.000;1000;10211000;inventory;867075000;>=200000000;1000;Aset finansial lainnya;4925742000;>=2000000000;1000;5885685000;>=5000000000 dan < 7000000000;1000;241889000;5643796000;0,04;excellent;960;0,96;excellent;960;0,04;excellent;960;96303000;97819000;-1516000;arus kas negatif;0;860
James Jones;29108000;>=25.000.000;1000;96801000;inventory;963417000;>=200000000;1000;Aset finansial lainnya;4757680000;>=2000000000;1000;5847006000;>=5000000000 dan < 7000000000;1000;378325000;5468681000;0,06;excellent;940;0,94;excellent;940;0,07;excellent;930;57027000;19771000;37256000;arus kas positif;1000;976,25
Emily Mccoy;88585000;>=25.000.000;1000;39644000;inventory;130536000;>=100000000 dan < 200000000;750;Kendaraan;715722000;>= 500000000 dan <1000000000;500;974487000;<1000000000;250;461874000;512613000;0,47;good;530;0,53;good;530;0,9;good;100;77258000;70166000;7092000;arus kas positif;1000;582,5
Lacey Torres;27820000;>=25.000.000;1000;19356000;asset keluarga ;520817000;>=200000000;1000;Aset finansial lainnya;1057332000;>=1000000000 dan < 2000000000;750;1625325000;>= 1000000000 dan <5000000000;500;573927000;1051398000;0,35;good;650;0,65;good;650;0,55;good;450;60118000;95897000;-35779000;arus kas negatif;0;625
